Epoch,train_acc,train_loss,val_acc,test_acc,test_loss,val_loss
182,0.9839,0.2065,0.7419,0.7738,0.5117,0.5299
183,0.9839,0.2064,0.7419,0.7783,0.5134,0.5276
184,0.9839,0.2061,0.7419,0.7783,0.5114,0.5309
185,0.9839,0.2061,0.7419,0.7828,0.5141,0.5271
186,0.9839,0.2059,0.7419,0.7783,0.5112,0.5325
187,0.9839,0.2061,0.7097,0.7783,0.5146,0.5264
188,0.9839,0.2060,0.7419,0.7783,0.5109,0.5341
189,0.9839,0.2065,0.7097,0.7783,0.5173,0.5268
190,0.9839,0.2082,0.7742,0.7738,0.5093,0.5363
191,0.9839,0.2122,0.7419,0.7873,0.5238,0.5241
192,0.9839,0.2198,0.7419,0.7738,0.5095,0.5460
193,0.9839,0.2314,0.7419,0.7873,0.5291,0.5178
194,0.9839,0.2402,0.7097,0.7647,0.5110,0.5629
195,0.9839,0.2424,0.7419,0.7602,0.5193,0.5139
196,0.9839,0.2278,0.7097,0.7647,0.5149,0.5646
197,0.9839,0.2128,0.7419,0.7873,0.5092,0.5184
198,0.9839,0.2078,0.7419,0.7738,0.5176,0.5345
199,0.9839,0.2100,0.7419,0.7738,0.5095,0.5345
200,0.9839,0.2117,0.7419,0.7828,0.5134,0.5220
